7,0.0012958,{seq: "Payload", range: "[2183-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[1-43]", dir: "f"}
7,0.0012958,{seq: "Payload", range: "[2796-2806]", dir: "t"},{seq: "SMRT-Bell", range: "[1-20]", dir: "f"}
7,0.0012958,{seq: "SMRT-Bell", range: "[1-31]", dir: "f"},{seq: "Payload", range: "[2182-2193]", dir: "t"}
7,0.0012958,{seq: "SMRT-Bell", range: "[1-31]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
7,0.0012958,{seq: "SMRT-Bell", range: "[1-43]", dir: "f"},{seq: "Payload", range: "[2195-2205]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
7,0.0012958,{seq: "SMRT-Bell", range: "[10-41]", dir: "f"}
7,0.0012958,{seq: "SMRT-Bell", range: "[10-43]", dir: "f"},{seq: "Payload", range: "[2182-2193]", dir: "t"}
7,0.0012958,{seq: "SMRT-Bell", range: "[27-43]", dir: "f"},{seq: "SMRT-Bell", range: "[1-20]", dir: "f"}
7,0.0012958,{seq: "SMRT-Bell", range: "[27-43]", dir: "f"},{seq: "SMRT-Bell", range: "[3-33]", dir: "f"}
7,0.0012958,{seq: "SMRT-Bell", range: "[3-43]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"}
7,0.0012958,{seq: "SMRT-Bell", range: "[8-19]", dir: "t"},{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[8-43]", dir: "f"}
7,0.0012958,{seq: "SMRT-Bell", range: "[9-19]", dir: "t"},{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[9-43]", dir: "f"}
6,0.0011107,{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[1-43]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"}
6,0.0011107,{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[3-43]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
6,0.0011107,{seq: "Payload", range: "[2796-2806]", dir: "t"},{seq: "SMRT-Bell", range: "[1-11]", dir: "f"}
6,0.0011107,{seq: "Payload", range: "[2796-2806]", dir: "t"},{seq: "SMRT-Bell", range: "[1-28]", dir: "f"}
6,0.0011107,{seq: "SMRT-Bell", range: "[1-25]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
6,0.0011107,{seq: "SMRT-Bell", range: "[1-28]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"}
6,0.0011107,{seq: "SMRT-Bell", range: "[1-28]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"}
6,0.0011107,{seq: "SMRT-Bell", range: "[1-33]", dir: "f"},{seq: "Payload", range: "[2795-2805]", dir: "f"}
6,0.0011107,{seq: "SMRT-Bell", range: "[1-34]", dir: "f"},{seq: "Payload", range: "[2182-2193]", dir: "t"}
6,0.0011107,{seq: "SMRT-Bell", range: "[1-41]", dir: "f"},{seq: "Payload", range: "[2182-2192]", dir: "t"}
6,0.0011107,{seq: "SMRT-Bell", range: "[1-41]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"},{seq: "Payload", range: "[2182-2193]", dir: "t"}
6,0.0011107,{seq: "SMRT-Bell", range: "[10-43]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
6,0.0011107,{seq: "SMRT-Bell", range: "[10-43]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"}
6,0.0011107,{seq: "SMRT-Bell", range: "[11-23]", dir: "t"},{seq: "SMRT-Bell", range: "[11-43]", dir: "f"}
6,0.0011107,{seq: "SMRT-Bell", range: "[27-43]", dir: "f"},{seq: "SMRT-Bell", range: "[5-33]", dir: "f"},{seq: "Payload", range: "[2182-2193]", dir: "t"}
6,0.0011107,{seq: "SMRT-Bell", range: "[27-43]", dir: "f"},{seq: "SMRT-Bell", range: "[5-33]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
6,0.0011107,{seq: "SMRT-Bell", range: "[3-33]", dir: "f"},{seq: "Payload", range: "[2182-2193]", dir: "t"}
6,0.0011107,{seq: "SMRT-Bell", range: "[3-41]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"}
6,0.0011107,{seq: "SMRT-Bell", range: "[3-41]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"}
6,0.0011107,{seq: "SMRT-Bell", range: "[5-19]", dir: "t"},{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[5-43]", dir: "f"}
5,0.0009256,{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[1-33]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
5,0.0009256,{seq: "Payload", range: "[2795-2805]", dir: "f"},{seq: "SMRT-Bell", range: "[1-43]", dir: "f"}
5,0.0009256,{seq: "Payload", range: "[2796-2806]", dir: "f"},{seq: "SMRT-Bell", range: "[1-43]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[1-25]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[1-34]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
5,0.0009256,{seq: "SMRT-Bell", range: "[1-41]", dir: "f"},{seq: "Payload", range: "[2183-2194]", dir: "t"}
5,0.0009256,{seq: "SMRT-Bell", range: "[1-41]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"}
5,0.0009256,{seq: "SMRT-Bell", range: "[1-43]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[32-43]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[1-43]", dir: "f"},{seq: "Payload", range: "[2795-2805]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[1-43]", dir: "f"},{seq: "Payload", range: "[2795-2805]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
5,0.0009256,{seq: "SMRT-Bell", range: "[1-43]", dir: "t"},{seq: "Payload", range: "[2796-2806]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[10-23]", dir: "t"},{seq: "SMRT-Bell", range: "[10-43]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[10-34]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[14-43]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
5,0.0009256,{seq: "SMRT-Bell", range: "[20-43]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[26-43]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[27-41]", dir: "f"},{seq: "SMRT-Bell", range: "[10-20]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[27-41]", dir: "f"},{seq: "SMRT-Bell", range: "[3-33]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[27-43]", dir: "f"},{seq: "SMRT-Bell", range: "[1-11]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[27-43]", dir: "f"},{seq: "SMRT-Bell", range: "[1-33]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
5,0.0009256,{seq: "SMRT-Bell", range: "[27-43]", dir: "f"},{seq: "SMRT-Bell", range: "[14-33]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[27-43]", dir: "f"},{seq: "SMRT-Bell", range: "[17-33]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[27-43]", dir: "f"},{seq: "SMRT-Bell", range: "[3-33]", dir: "f"},{seq: "Payload", range: "[2796-2806]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[3-25]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
5,0.0009256,{seq: "SMRT-Bell", range: "[3-41]", dir: "f"},{seq: "Payload", range: "[2182-2193]", dir: "t"}
5,0.0009256,{seq: "SMRT-Bell", range: "[3-41]", dir: "t"}
5,0.0009256,{seq: "SMRT-Bell", range: "[32-43]", dir: "f"},{seq: "SMRT-Bell", range: "[1-22]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[5-34]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[5-43]", dir: "f"},{seq: "Payload", range: "[2182-2195]", dir: "t"}
5,0.0009256,{seq: "SMRT-Bell", range: "[6-16]", dir: "t"},{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[6-43]", dir: "f"}
5,0.0009256,{seq: "SMRT-Bell", range: "[7-19]", dir: "t"},{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[7-43]", dir: "f"}
4,0.0007405,{seq: "Payload", range: "[2182-2193]", dir: "f"},{seq: "SMRT-Bell", range: "[1-43]", dir: "t"}
4,0.0007405,{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[1-22]", dir: "f"}
4,0.0007405,{seq: "Payload", range: "[2182-2195]", dir: "t"},{seq: "SMRT-Bell", range: "[13-43]", dir: "f"},{seq: "Payload", range: "[2182-2194]", dir: "t"}
